# id E
1.648800000000000000e+04 -1.633777216537919885e+05
1.719800000000000000e+04 -1.633777700878100004e+05
1.187000000000000000e+03 -1.633777395982689923e+05
1.690800000000000000e+04 -1.633777668759230000e+05
1.691000000000000000e+04 -1.633777593073289900e+05
1.693000000000000000e+04 -1.633777934443750128e+05
1.719900000000000000e+04 -1.633778158333640022e+05
1.720000000000000000e+04 -1.633777694360750029e+05
1.722200000000000000e+04 -1.633778095335079997e+05
1.722300000000000000e+04 -1.633778657897750090e+05
1.666600000000000000e+04 -1.633777898090310046e+05
1.231000000000000000e+03 -1.633777764386709896e+05
1.668300000000000000e+04 -1.633779866933480080e+05
1.693100000000000000e+04 -1.633778425751060131e+05
1.693200000000000000e+04 -1.633778194005250116e+05
1.693300000000000000e+04 -1.633778719261650112e+05
1.693400000000000000e+04 -1.633779375721600081e+05
1.668500000000000000e+04 -1.633778152796080103e+05
1.271000000000000000e+03 -1.633777730516729935e+05
1.307000000000000000e+03 -1.633777667357730097e+05
1.308000000000000000e+03 -1.633776029697339982e+05
2.038000000000000000e+03 -1.633779206080909935e+05
1.668600000000000000e+04 -1.633778562759950000e+05
1.669500000000000000e+04 -1.633776520961379865e+05
1.693600000000000000e+04 -1.633778646724960126e+05
1.694700000000000000e+04 -1.633778316732929961e+05
1.158700000000000000e+04 -1.633777897669759986e+05
2.036000000000000000e+03 -1.633778193240659893e+05
1.092700000000000000e+04 -1.633777356097779993e+05
1.158800000000000000e+04 -1.633777328252889856e+05
1.669600000000000000e+04 -1.633777936407370144e+05
3.705800000000000000e+04 -1.633776237438200042e+05
3.775600000000000000e+04 -1.633776449809070036e+05
3.705700000000000000e+04 -1.633776776768460113e+05
1.034700000000000000e+04 -1.633776516289940046e+05
1.094700000000000000e+04 -1.633776746328980080e+05
3.705600000000000000e+04 -1.633776647895259957e+05
3.708500000000000000e+04 -1.633776660359720117e+05
3.705500000000000000e+04 -1.633776622641780123e+05
9.833000000000000000e+03 -1.633777126799290127e+05
1.034500000000000000e+04 -1.633776916465680115e+05
1.036800000000000000e+04 -1.633776902197409945e+05
3.708400000000000000e+04 -1.633776673867669888e+05
6.450000000000000000e+02 -1.633777550629769976e+05
6.750000000000000000e+02 -1.633777527708520065e+05
1.191000000000000000e+03 -1.633777444358849898e+05
1.234000000000000000e+03 -1.633777352955999959e+05
1.722100000000000000e+04 -1.633777880265690037e+05
1.756700000000000000e+04 -1.633777929340749979e+05
6.760000000000000000e+02 -1.633777516317339905e+05
1.694600000000000000e+04 -1.633777988883960061e+05
1.236000000000000000e+03 -1.633777212873029930e+05
1.272000000000000000e+03 -1.633778034306599875e+05
1.274000000000000000e+03 -1.633778002755999914e+05
1.275000000000000000e+03 -1.633778678792630089e+05
1.277000000000000000e+03 -1.633777377021420107e+05
1.309000000000000000e+03 -1.633776570169359911e+05
1.310000000000000000e+03 -1.633777467466800008e+05
1.312000000000000000e+03 -1.633778831420550123e+05
1.313000000000000000e+03 -1.633778448857170006e+05
2.039000000000000000e+03 -1.633780714438039868e+05
2.042000000000000000e+03 -1.633779900335859857e+05
1.341000000000000000e+03 -1.633779545358630130e+05
2.076000000000000000e+03 -1.633775585045710031e+05
2.077000000000000000e+03 -1.633777793903859856e+05
2.078000000000000000e+03 -1.633779988559760095e+05
2.079000000000000000e+03 -1.633778455449939938e+05
2.081000000000000000e+03 -1.633777576861040143e+05
1.161300000000000000e+04 -1.633777048392319994e+05
1.161600000000000000e+04 -1.633776774411090009e+05
3.649800000000000000e+04 -1.633777455632770143e+05
3.651800000000000000e+04 -1.633777705138380115e+05
3.649700000000000000e+04 -1.633779058964260039e+05
3.647300000000000000e+04 -1.633776901209620119e+05
1.094800000000000000e+04 -1.633776526479749882e+05
1.095000000000000000e+04 -1.633776517080249905e+05
1.164900000000000000e+04 -1.633777819985550013e+05
3.651700000000000000e+04 -1.633776440996140009e+05
3.651600000000000000e+04 -1.633776818884520035e+05
3.649400000000000000e+04 -1.633777361872500041e+05
1.036900000000000000e+04 -1.633776922709920036e+05
1.037100000000000000e+04 -1.633776765538039908e+05
1.037200000000000000e+04 -1.633776833194369974e+05
1.097800000000000000e+04 -1.633776633939190069e+05
1.097900000000000000e+04 -1.633776942195529991e+05
1.040300000000000000e+04 -1.633777003994570114e+05
3.651100000000000000e+04 -1.633777347911419929e+05
3.652600000000000000e+04 -1.633777138729339931e+05
6.770000000000000000e+02 -1.633777480393130099e+05
1.239000000000000000e+03 -1.633777391883560049e+05
1.242000000000000000e+03 -1.633777333571960044e+05
